question_id,student_id,question,marking_scheme,image_paths,extracted_text,teacher_score
Q1_a,student_16,"Scenario: ABC (Pvt) Ltd. is a chain of supermarkets in Sri Lanka. Suppose you are asked to design a new version of the cash register machine for ABC. Question: Briefly explain what is ""Usability Engineering""?",1. Systematic approach to design. 2. Focuses on user needs and limitations. 3. Aims to ensure efficiency and user satisfaction.,images/Q1_a/student_16.jpeg,"Q 1.
(a) Usability Engineering is proffessional
deciplines that use to improve
usability op interactive system,",10
Q1_a,student_17,"Scenario: ABC (Pvt) Ltd. is a chain of supermarkets in Sri Lanka. Suppose you are asked to design a new version of the cash register machine for ABC. Question: Briefly explain what is ""Usability Engineering""?",1. Systematic approach to design. 2. Focuses on user needs and limitations. 3. Aims to ensure efficiency and user satisfaction.,images/Q1_a/student_17.jpeg,"1)
a. usability engineering is a professional discipline that
used to improve the usability of interactive system.",10
Q1_a,student_18,"Scenario: ABC (Pvt) Ltd. is a chain of supermarkets in Sri Lanka. Suppose you are asked to design a new version of the cash register machine for ABC. Question: Briefly explain what is ""Usability Engineering""?",1. Systematic approach to design. 2. Focuses on user needs and limitations. 3. Aims to ensure efficiency and user satisfaction.,images/Q1_a/student_18.jpeg,"01).
a).
Usability Engineering is a way to analysis
the condition of user safety, efficiency and
Effective of the existing systems while enjoy-
fing the experience.",5
Q1_a,student_19,"Scenario: ABC (Pvt) Ltd. is a chain of supermarkets in Sri Lanka. Suppose you are asked to design a new version of the cash register machine for ABC. Question: Briefly explain what is ""Usability Engineering""?",1. Systematic approach to design. 2. Focuses on user needs and limitations. 3. Aims to ensure efficiency and user satisfaction.,images/Q1_a/student_19.jpeg,"Q1
@ usability
* Quality of the product, Quality attributes and
are to use.

total acceptability of total Interface = socail acceptibilities
+ practical acceptability
* practical acceptability
* utility (Education, Entertainment)
* usability (easy to the lean, less to the
Remember, ).",6
Q1_a,student_20,"Scenario: ABC (Pvt) Ltd. is a chain of supermarkets in Sri Lanka. Suppose you are asked to design a new version of the cash register machine for ABC. Question: Briefly explain what is ""Usability Engineering""?",1. Systematic approach to design. 2. Focuses on user needs and limitations. 3. Aims to ensure efficiency and user satisfaction.,images/Q1_a/student_20.jpeg,"2a) Usability Engineering is system's studying
about the system's ability to provide
method for a user to perform some
task safely, efficiency and effectively
while enjoying the task",8
Q1_a,student_21,"Scenario: ABC (Pvt) Ltd. is a chain of supermarkets in Sri Lanka. Suppose you are asked to design a new version of the cash register machine for ABC. Question: Briefly explain what is ""Usability Engineering""?",1. Systematic approach to design. 2. Focuses on user needs and limitations. 3. Aims to ensure efficiency and user satisfaction.,images/Q1_a/student_21.jpeg,"① a) Usability engineering is the capacity of the system that
can provide a safe, reliable and efficient facilities
while user enjoy the experience when using it.(safe user satisfy)",8
Q1_b,student_01,Scenario: ABC (Pvt) Ltd. is a chain of supermarkets... [Cash Register Project]. Question: Explain the importance of following the Usability Engineering Life Cycle approach for the assigned project in ABC (Pvt) Ltd.,1. Reduces development costs by identifying errors early. 2. Ensures the cash register interface matches the specific skills of cashiers. 3. Increases user satisfaction and efficiency at the checkout counter.,images/Q1_b/student_01.jpeg,"b) Usability Engineering Life cycle provide main
& focus area of how to system work with the
user. In A
In ABC Ltd, they suppose develop new version
of cash register machine it is maybe very uncommon
to user. We need to design & to very prototype to very
a simple prototype of our project and need to
get ideas about that from users. It can be
use for to easily. easily & to
novices users.",12
Q1_b,student_02,Scenario: ABC (Pvt) Ltd. is a chain of supermarkets... [Cash Register Project]. Question: Explain the importance of following the Usability Engineering Life Cycle approach for the assigned project in ABC (Pvt) Ltd.,1. Reduces development costs by identifying errors early. 2. Ensures the cash register interface matches the specific skills of cashiers. 3. Increases user satisfaction and efficiency at the checkout counter.,images/Q1_b/student_02.jpeg,"b. Usability Engineering Life Cycle
*   Know the User
*   Competitive Analysis
*   Usability goal setting
*   Parallel design
*   Participatory design
*   Coordinate design and of the total interface
*   Apply guidelines
*   Prototyping
*   Empirical testing
*   Iterative design
*   Follow-up studies

ABC (Put) Ltd. has gone to design a new version of
the cash register machine. Usability Flight In the one
For the Usability Engineering Life Cycle
First we have to think about what are the users for
the system of cash register machine. In here, customers,
cashier, administrators and technicians are users in the
system.
And also the cash register machine
And also we have to think about existing cash register
machines and compare them with existing systems.",10
Q1_b,student_03,Scenario: ABC (Pvt) Ltd. is a chain of supermarkets... [Cash Register Project]. Question: Explain the importance of following the Usability Engineering Life Cycle approach for the assigned project in ABC (Pvt) Ltd.,1. Reduces development costs by identifying errors early. 2. Ensures the cash register interface matches the specific skills of cashiers. 3. Increases user satisfaction and efficiency at the checkout counter.,images/Q1_b/student_03.jpeg,"(b) There are more than ten usability engineering life
cycle methods. Using usability engineering life cycle
approach for ABC (Pvt) Ltd are they can avoid the
unnecessary design and development, because when
we are using usability engineering life cycle
before finalize the design process. There for
using this approach we can reduce the cost
for unwanted things, design and development.",5
Q1_b,student_04,Scenario: ABC (Pvt) Ltd. is a chain of supermarkets... [Cash Register Project]. Question: Explain the importance of following the Usability Engineering Life Cycle approach for the assigned project in ABC (Pvt) Ltd.,1. Reduces development costs by identifying errors early. 2. Ensures the cash register interface matches the specific skills of cashiers. 3. Increases user satisfaction and efficiency at the checkout counter.,images/Q1_b/student_04.jpeg,"b) In that ABC (Pvt)Ltd, we have to design
new version of cash register machine.
So, usability Engineering Life cycle helps
to do it in proper way.",3
Q1_b,student_05,Scenario: ABC (Pvt) Ltd. is a chain of supermarkets... [Cash Register Project]. Question: Explain the importance of following the Usability Engineering Life Cycle approach for the assigned project in ABC (Pvt) Ltd.,1. Reduces development costs by identifying errors early. 2. Ensures the cash register interface matches the specific skills of cashiers. 3. Increases user satisfaction and efficiency at the checkout counter.,images/Q1_b/student_05.jpeg,"b) When use the Usability Engineering Life cycle to ABC (Pvt) Ltd we can
get more benefits. When we know the user then we can measured
their Performance. Comparition of So they not well performed test. when we the competitive
analyze we can get the Existing System of ABC (Pvt) Ltd.
Collect the user feedback so we can decide to design a new version of
Cash register machine for ABC Comp I
Empirical testing to help to identify the real users performance & Satisfaction.
Use the guidelines so improve the product quality.",10
Q1_b,student_06,Scenario: ABC (Pvt) Ltd. is a chain of supermarkets... [Cash Register Project]. Question: Explain the importance of following the Usability Engineering Life Cycle approach for the assigned project in ABC (Pvt) Ltd.,1. Reduces development costs by identifying errors early. 2. Ensures the cash register interface matches the specific skills of cashiers. 3. Increases user satisfaction and efficiency at the checkout counter.,images/Q1_b/student_06.jpeg,"(b). Usability Engineering Life Cycle
1. Know the user
2. User Controll
3. Compative Analysis.
4. parellel Design
5. Participatory Design
6. Coordinary Design and all total user interface.
7. Prototyping.
8. Apply guideline and Heristic Analysis.
9. Empirical Testing
10. Iterative Design
11. Collect feedback field users.

that is the usability life cycle, i think Assigned
to project ABC (pvte) Ltd Company.

* prototyping :- we have to project user
  Design in dirst.
* Empirical Testing :- project All function working
  testing
* Know the user :- which user this application
  are use.
* Collect feedback field users. :- How to Collect
  which changes we are add
  the project.",0
Q1_b,student_07,Scenario: ABC (Pvt) Ltd. is a chain of supermarkets... [Cash Register Project]. Question: Explain the importance of following the Usability Engineering Life Cycle approach for the assigned project in ABC (Pvt) Ltd.,1. Reduces development costs by identifying errors early. 2. Ensures the cash register interface matches the specific skills of cashiers. 3. Increases user satisfaction and efficiency at the checkout counter.,images/Q1_b/student_07.jpeg,"b) usability Engineering life cycle approch.
are used to design a system fo.
different users. so this ABC company
must know about user of this.
cash register machine. also they need.
minimum error of the system for that they need.
Error prevention of the system.
Also they need best and.
good system. so from this life cycle,
They can follow up existing systems
and gather data from it. then they
can get more efficiency and effecti
and more user friendliness system.",10
Q1_b,student_08,Scenario: ABC (Pvt) Ltd. is a chain of supermarkets... [Cash Register Project]. Question: Explain the importance of following the Usability Engineering Life Cycle approach for the assigned project in ABC (Pvt) Ltd.,1. Reduces development costs by identifying errors early. 2. Ensures the cash register interface matches the specific skills of cashiers. 3. Increases user satisfaction and efficiency at the checkout counter.,images/Q1_b/student_08.jpeg,"b) for the above spportarket frequently workers may charges
& and they may be from various qualifications and
from various background education, So for all we should
design a system understandable and easy to use
in the arrest way. So for that we should follow
The usability engineering life cycle approach,",5
Q1_b,student_09,Scenario: ABC (Pvt) Ltd. is a chain of supermarkets... [Cash Register Project]. Question: Explain the importance of following the Usability Engineering Life Cycle approach for the assigned project in ABC (Pvt) Ltd.,1. Reduces development costs by identifying errors early. 2. Ensures the cash register interface matches the specific skills of cashiers. 3. Increases user satisfaction and efficiency at the checkout counter.,images/Q1_b/student_09_p1.jpeg | images/Q1_b/student_09_p2.jpeg,"6) Usability life cycle is very important to
improve this kind of project. In the
first stage they need to get idea
about the users. And also then they
can Compain and anlysis with
compitive Customers and identyfy the what kind
of improvement they need. And also Goals
Setting in this stage and help to analys.
What kind of price limits and payment method
Security and malce the low errors.
And also ABC (Pvt) Ltd. can do paralle
design and praorited designs to improve
the high effection interface according to
the product. And also Iterative analysis
is the most important accpect that
they must follow in the new rease:
So it can get idea and kwollage through
the last rease. And the final stage
of the Cycle we need to take User
Feedback toward the new Version.
So the important of the using usability
engineering life cycle is the Can
get attention their users and a lost
Customers will not happend. And also
if help to get new Customers and they
Can provide a good Service with more efficiency
And the most important thing is the finally
Can take the feed+back and can
ready to next Version.",15
Q1_b,student_10,Scenario: ABC (Pvt) Ltd. is a chain of supermarkets... [Cash Register Project]. Question: Explain the importance of following the Usability Engineering Life Cycle approach for the assigned project in ABC (Pvt) Ltd.,1. Reduces development costs by identifying errors early. 2. Ensures the cash register interface matches the specific skills of cashiers. 3. Increases user satisfaction and efficiency at the checkout counter.,images/Q1_b/student_10.jpeg,"(b) ABC has a chain of supermarkets in srilanka.
So, the users of the cash registry machine will be diffrent ones
and diffrent knowledg2 people so they need to follow the
know the users usability life cycle Approach. and also They
need to consider their competitive bussiness systems
as well. So the must follow the usability life cycle Approach.",0
Q1_b,student_11,Scenario: ABC (Pvt) Ltd. is a chain of supermarkets... [Cash Register Project]. Question: Explain the importance of following the Usability Engineering Life Cycle approach for the assigned project in ABC (Pvt) Ltd.,1. Reduces development costs by identifying errors early. 2. Ensures the cash register interface matches the specific skills of cashiers. 3. Increases user satisfaction and efficiency at the checkout counter.,images/Q1_b/student_11.jpeg,"b) following through the usability engineering life cycle
we can know the users and what are the functionalities
we want to add to the system.",5
Q1_b,student_12,Scenario: ABC (Pvt) Ltd. is a chain of supermarkets... [Cash Register Project]. Question: Explain the importance of following the Usability Engineering Life Cycle approach for the assigned project in ABC (Pvt) Ltd.,1. Reduces development costs by identifying errors early. 2. Ensures the cash register interface matches the specific skills of cashiers. 3. Increases user satisfaction and efficiency at the checkout counter.,images/Q1_b/student_12.jpeg,"b/ The usability Engineering life cycle is
helpful the PBC (Pvt) Ltd to. design and
develop a system that is most convinient to its
-ser and users can achieve the goals very easily.
It will help to improve the usability of the
ABC (Pvt) Ltd cash registem and solve the
issues that related to usability.
IF the ABC (Pvt) Ltd follow the
usability life cycle it will helpful for designing
and developing a system that would suitable for
it's stakeholders.
• Improve usability
• Provide good learnable system
• Increase the efficiency of system
• provide satisfaction for the users of system
• reduce the number of errors
• decrease the usability issues.",15
Q1_b,student_13,Scenario: ABC (Pvt) Ltd. is a chain of supermarkets... [Cash Register Project]. Question: Explain the importance of following the Usability Engineering Life Cycle approach for the assigned project in ABC (Pvt) Ltd.,1. Reduces development costs by identifying errors early. 2. Ensures the cash register interface matches the specific skills of cashiers. 3. Increases user satisfaction and efficiency at the checkout counter.,images/Q1_b/student_13.jpeg,"b) According to the requirement of
ABC (Pvt) Ltd, this machine are designed
to handle payments for their products
so and th
As As mentioned above these machines
are used to register cash of products that
are related to ABC (Pvt) Ltd, so these
machines are not used daily in user's
so the customer to user of these
systems are always novice user because
user may use their machine 3 to 4
times per week. so its important
to go through a Usability Engineering Life
Cycle in order to improve the efficiency
and effectiveness while improving overall
usability of the system.",10
Q1_b,student_14,Scenario: ABC (Pvt) Ltd. is a chain of supermarkets... [Cash Register Project]. Question: Explain the importance of following the Usability Engineering Life Cycle approach for the assigned project in ABC (Pvt) Ltd.,1. Reduces development costs by identifying errors early. 2. Ensures the cash register interface matches the specific skills of cashiers. 3. Increases user satisfaction and efficiency at the checkout counter.,images/Q1_b/student_14.jpeg,"(b) Actually Engineering Life
cycle approch very important to
assign project a company, So ABC (Pvt)
Ltd. can identifiy the problems, Then
they can understand the problem,
which we have been faced and focus
on to the solutions.
And also we can uncover the
Opportunities. Then we can apply
them to the ABC (Pvt) Ltd.
Also we can learn about
the target users. The we can get
the insight about what are the
things which are sabisfacted by
users and expected product",15
Q1_b,student_15,Scenario: ABC (Pvt) Ltd. is a chain of supermarkets... [Cash Register Project]. Question: Explain the importance of following the Usability Engineering Life Cycle approach for the assigned project in ABC (Pvt) Ltd.,1. Reduces development costs by identifying errors early. 2. Ensures the cash register interface matches the specific skills of cashiers. 3. Increases user satisfaction and efficiency at the checkout counter.,images/Q1_b/student_15.jpeg,"(b) when we use usability engineering, we
cyctacle approaches do the product. it's
more worth wealth thing do the system.

If we use life cycle, we have to know
the users, they are following. Then the
the system can know their experience, knowlege.
In DBC company they have disdr-budes
various beverage brands. we can find
good competitive analyse with the
exsding system and provide good things
to the design. also they have fast
moving goods products. thad mean we can
grow their products. we can west
paradicipading analyse, parralel designs
as well. then the design should he
very clear and good quality.",10
Q1_b,student_16,Scenario: ABC (Pvt) Ltd. is a chain of supermarkets... [Cash Register Project]. Question: Explain the importance of following the Usability Engineering Life Cycle approach for the assigned project in ABC (Pvt) Ltd.,1. Reduces development costs by identifying errors early. 2. Ensures the cash register interface matches the specific skills of cashiers. 3. Increases user satisfaction and efficiency at the checkout counter.,images/Q1_b/student_16.jpeg,"b). By following Usability Engineering Life Cycle
approach. We can come up with better product
(system) which have safety, efficiency and effective
by helping users to achive their intended task.

To design the cash register machine for ABC
we should know about the users who are
going to that system, their expectation and are there
any competitive product to fast the design process
like there are many things to be Aad Analys
and study before start the development process.",10
Q1_b,student_17,Scenario: ABC (Pvt) Ltd. is a chain of supermarkets... [Cash Register Project]. Question: Explain the importance of following the Usability Engineering Life Cycle approach for the assigned project in ABC (Pvt) Ltd.,1. Reduces development costs by identifying errors early. 2. Ensures the cash register interface matches the specific skills of cashiers. 3. Increases user satisfaction and efficiency at the checkout counter.,images/Q1_b/student_17.jpeg,"b usability Engineering life cycle is a good de discipline
that are flowing when developing good product. These
are important to improve the usability of the product.
This is help designer to identify real users, what are
the thing need to improve than other register machine, what
<s>need</s> feature need to <s>add</s> add for new version of
the cash register machine for ABC.",10
Q1_b,student_18,Scenario: ABC (Pvt) Ltd. is a chain of supermarkets... [Cash Register Project]. Question: Explain the importance of following the Usability Engineering Life Cycle approach for the assigned project in ABC (Pvt) Ltd.,1. Reduces development costs by identifying errors early. 2. Ensures the cash register interface matches the specific skills of cashiers. 3. Increases user satisfaction and efficiency at the checkout counter.,images/Q1_b/student_18.jpeg,"b) When we follow usability engineering life cycle approch
we will be able to identify existing problems with
the existing system. And also we might be able
to uncover some opportunities that we missed in
previous versions of the system. We will be able
to provide a satisfieable system to the user and
we might be able to expand the use number of
users who uses the system",10
Q1_b,student_19,Scenario: ABC (Pvt) Ltd. is a chain of supermarkets... [Cash Register Project]. Question: Explain the importance of following the Usability Engineering Life Cycle approach for the assigned project in ABC (Pvt) Ltd.,1. Reduces development costs by identifying errors early. 2. Ensures the cash register interface matches the specific skills of cashiers. 3. Increases user satisfaction and efficiency at the checkout counter.,images/Q1_b/student_19.jpeg,"1. Know the user.
2. compitibility analysis.
3. Setting the usability goals.
4. Parallel Design.
5. Imporical Testing
6. coordinate of the total Interface.
7. guideline for heuristic evaluation.
8. Prototyping
9. Interactive Design.",0
Q1_b,student_20,Scenario: ABC (Pvt) Ltd. is a chain of supermarkets... [Cash Register Project]. Question: Explain the importance of following the Usability Engineering Life Cycle approach for the assigned project in ABC (Pvt) Ltd.,1. Reduces development costs by identifying errors early. 2. Ensures the cash register interface matches the specific skills of cashiers. 3. Increases user satisfaction and efficiency at the checkout counter.,images/Q1_b/student_20.jpeg,"b) By following the usability Engineering Life
Cycle approach UI developers can develop
a better interface for the target users.
The new version of this cash register can be
developed by considering about the needs of
the relevent stakeholders by following the
Usability Life Cycle.",10
Q1_b,student_21,Scenario: ABC (Pvt) Ltd. is a chain of supermarkets... [Cash Register Project]. Question: Explain the importance of following the Usability Engineering Life Cycle approach for the assigned project in ABC (Pvt) Ltd.,1. Reduces development costs by identifying errors early. 2. Ensures the cash register interface matches the specific skills of cashiers. 3. Increases user satisfaction and efficiency at the checkout counter.,images/Q1_b/student_21.jpeg,"(1) (b) Usability Engineering life cycle we do prototyping
, Empirical testing, iterative design. By using
these steps we can reduce the cost that may
applied to redesign. we do user researchs here
to identify the exact needs of our target
user. Then we adhere to Usability standards here
So we can expect quality Cash register machine
design for ABC.",10
Q1_c,student_02,Scenario: ABC (Pvt) Ltd. is a chain of supermarkets... [Cash Register Project]. Question: Identify the users of the proposed system and state three (03) obstacles developers encounter when meeting users in the first stage of the Usability Engineering Life Cycle.,1. Users Identified: Cashiers and Store Managers. 2. Obstacle 1: Users are busy and difficult to reach. 3. Obstacle 2: Users struggle to articulate their needs clearly. 4. Obstacle 3: Users may resist changes to their current workflow.,images/Q1_c/student_02.jpeg,"d). Usability Life Engineering Life Cycle
steps
①. Know the user.
②. Comparatative Analysis.
③. Setting usability goals
④. prallel design
⑤. participatory design.
⑥. Coordinate Design and the tudal interface.
⑦. Apply guideline and Heristicss Analysis.
⑧. prototy ping
⑨. Empirical Testing
⑩. Izerative Design
⑪. Collect feedback field users.
④ follow by that step for the Usability Engineering
Life cycle.
④ we have to good and, Accuracy Application for develop
the, following Usability Engineering Life Cycle.",33
Q1_c,student_03,Scenario: ABC (Pvt) Ltd. is a chain of supermarkets... [Cash Register Project]. Question: Identify the users of the proposed system and state three (03) obstacles developers encounter when meeting users in the first stage of the Usability Engineering Life Cycle.,1. Users Identified: Cashiers and Store Managers. 2. Obstacle 1: Users are busy and difficult to reach. 3. Obstacle 2: Users struggle to articulate their needs clearly. 4. Obstacle 3: Users may resist changes to their current workflow.,images/Q1_c/student_03.jpeg,"(d.) - Usability Engineering Life Cycle -
* Know the user
* Competitive analysis
* Usability goal setting
* Parallel design
* Participatory design
* Coordinate design of the total interface
* Apply goals and guidelines and
* Prototyping
* Empirical testing
* Iterative design
* Follow-up studies.

Know the users
To design a system we have to know about
what identify users which perform the system.
Ex:- In the ABC company cash register machine have
administrators, customers and Technicians

Competitive Analysis
In here, we have to compare the system
which to do design with existing systems

Usability Goal Setting
The system performance as go to goal",35
Q1_c,student_04,Scenario: ABC (Pvt) Ltd. is a chain of supermarkets... [Cash Register Project]. Question: Identify the users of the proposed system and state three (03) obstacles developers encounter when meeting users in the first stage of the Usability Engineering Life Cycle.,1. Users Identified: Cashiers and Store Managers. 2. Obstacle 1: Users are busy and difficult to reach. 3. Obstacle 2: Users struggle to articulate their needs clearly. 4. Obstacle 3: Users may resist changes to their current workflow.,images/Q1_c/student_04.jpeg,"(d) Usability Engineering is a professional discipline that
focus on regarding the behaviour of the Interactive
system. There are eleven usability engineering
life cycle methods. Those are;
* know the user
* competitive analyse
* setting usability goals
* prarellel design
* participatory design
* coordinate design of the total interface
   and heuristic evaluation
* Apply guildlines and heuristic evaluation
* prototyping
* Collect feedback field user
* iterative design
* Empirical testing
According to the usability engineering life
cycle ABC company should identify who are the
customers for this company.",35
