question_id,human_score,ai_score,max_marks,answer_type,num_concepts,confidence,method
Q3_b,12,10.0,15.0,essay,3,high,LLM Concept v3
Q3_c,18,18.75,25.0,essay,4,high,LLM Concept v3
Q3_c,0,0.0,25.0,essay,4,high,LLM Concept v3
Q3_c,10,12.5,25.0,essay,4,medium,LLM Concept v3
Q3_c,24,21.75,25.0,essay,4,medium,LLM Concept v3
Q3_c,16,18.75,25.0,essay,4,high,LLM Concept v3
Q3_c,24,15.75,25.0,essay,4,high,LLM Concept v3
Q3_c,12,25.0,25.0,essay,4,high,LLM Concept v3
Q3_c,20,18.75,25.0,essay,4,high,LLM Concept v3
Q3_c,20,12.5,25.0,essay,4,high,LLM Concept v3
Q3_c,16,9.5,25.0,essay,4,high,LLM Concept v3
Q3_c,20,18.75,25.0,essay,4,high,LLM Concept v3
Q3_c,18,12.5,25.0,essay,4,high,LLM Concept v3
Q3_c,22,18.75,25.0,essay,4,medium,LLM Concept v3
Q3_c,12,22.5,25.0,essay,5,high,LLM Concept v3
Q3_c,22,18.75,25.0,essay,4,high,LLM Concept v3
Q3_c,10,25.0,25.0,essay,4,high,LLM Concept v3
Q3_c,20,12.5,25.0,essay,4,medium,LLM Concept v3
Q3_c,18,25.0,25.0,essay,4,high,LLM Concept v3
Q3_d,25,25.0,50.0,essay,10,high,LLM Concept v3
Q3_d,15,15.0,50.0,essay,10,medium,LLM Concept v3
Q3_d,2,5.0,50.0,essay,10,high,LLM Concept v3
Q3_d,42,30.0,50.0,essay,10,medium,LLM Concept v3
Q3_d,44,35.0,50.0,essay,5,high,LLM Concept v3
Q3_d,28,20.0,50.0,essay,10,high,LLM Concept v3
Q3_d,40,39.5,50.0,essay,12,high,LLM Concept v3
Q3_d,50,50.0,50.0,essay,10,high,LLM Concept v3
Q3_d,25,50.0,50.0,essay,10,high,LLM Concept v3
Q3_d,28,35.0,50.0,essay,5,high,LLM Concept v3
Q3_d,25,40.0,50.0,essay,10,high,LLM Concept v3
Q3_d,42,39.0,50.0,essay,9,high,LLM Concept v3
Q3_d,45,50.0,50.0,essay,11,high,LLM Concept v3
Q3_d,42,35.0,50.0,essay,10,medium,LLM Concept v3
Q3_d,50,45.0,50.0,essay,5,high,LLM Concept v3
Q3_d,45,42.5,50.0,essay,10,high,LLM Concept v3
Q3_d,42,50.0,50.0,essay,8,high,LLM Concept v3
Q3_d,48,40.0,50.0,essay,10,high,LLM Concept v3
Q3_d,30,27.5,50.0,essay,10,high,LLM Concept v3
Q4_a,12,9.0,24.0,essay,4,high,LLM Concept v3
Q4_a,20,6.0,24.0,essay,4,medium,LLM Concept v3
Q4_a,10,6.0,24.0,essay,4,high,LLM Concept v3
Q4_a,10,9.0,24.0,essay,4,medium,LLM Concept v3
Q4_a,0,0.0,24.0,essay,4,high,LLM Concept v3
Q4_a,12,12.0,24.0,essay,4,high,LLM Concept v3
Q4_a,22,12.0,24.0,essay,4,high,LLM Concept v3
Q4_a,18,12.0,24.0,essay,4,high,LLM Concept v3
Q4_a,24,6.0,24.0,essay,4,medium,LLM Concept v3
Q4_a,18,0.0,24.0,essay,0,low,LLM Concept v3
Q4_a,12,0.0,24.0,essay,4,high,LLM Concept v3
Q4_a,24,24.0,24.0,essay,4,high,LLM Concept v3
Q4_a,20,12.0,24.0,essay,4,high,LLM Concept v3
Q4_a,20,12.0,24.0,essay,4,medium,LLM Concept v3
Q4_a,18,12.0,24.0,essay,4,high,LLM Concept v3
Q4_a,24,24.0,24.0,essay,4,high,LLM Concept v3
Q4_a,18,6.0,24.0,essay,4,high,LLM Concept v3
Q4_a,18,21.0,24.0,essay,4,high,LLM Concept v3
Q4_a,12,12.0,24.0,essay,4,high,LLM Concept v3
Q4_b,5,28.25,36.0,essay,7,high,LLM Concept v3
Q4_b,25,21.0,36.0,essay,6,high,LLM Concept v3
Q4_b,8,27.0,36.0,essay,6,high,LLM Concept v3
Q4_b,36,18.0,36.0,essay,6,high,LLM Concept v3
Q4_b,20,20.0,36.0,essay,9,high,LLM Concept v3
Q4_b,36,36.0,36.0,essay,5,high,LLM Concept v3
Q4_b,20,36.0,36.0,essay,5,high,LLM Concept v3
Q4_b,0,11.25,36.0,essay,8,high,LLM Concept v3
Q4_b,5,18.0,36.0,essay,6,high,LLM Concept v3
Q4_b,0,32.5,36.0,essay,5,high,LLM Concept v3
Q4_b,15,13.5,36.0,essay,8,high,LLM Concept v3
Q4_b,36,28.25,36.0,essay,7,high,LLM Concept v3
Q4_b,20,30.0,36.0,essay,6,high,LLM Concept v3
Q4_b,36,20.5,36.0,essay,7,high,LLM Concept v3
Q4_b,36,30.0,36.0,essay,6,high,LLM Concept v3
Q4_b,30,36.0,36.0,essay,5,high,LLM Concept v3
Q4_b,10,11.25,36.0,essay,8,high,LLM Concept v3
Q4_b,36,28.75,36.0,essay,5,high,LLM Concept v3
