question_id,human_score,ai_score,max_marks,method
Q2_a,10,5.0,10.0,LLM Concept + Relevance Penalty
Q2_a,10,4.17,10.0,LLM Concept + Relevance Penalty
Q2_a,0,0.0,10.0,LLM Concept + Relevance Penalty
Q2_a,10,5.0,10.0,LLM Concept + Relevance Penalty
Q2_a,0,0.0,10.0,LLM Concept + Relevance Penalty
Q2_a,0,1.67,10.0,LLM Concept + Relevance Penalty
Q2_a,10,3.33,10.0,LLM Concept + Relevance Penalty
Q2_a,10,3.33,10.0,LLM Concept + Relevance Penalty
Q2_b,0,0.0,45.0,LLM Concept + Relevance Penalty
Q2_b,5,0.0,45.0,LLM Concept + Relevance Penalty
Q2_b,10,16.88,45.0,LLM Concept + Relevance Penalty
Q2_b,30,11.25,45.0,LLM Concept + Relevance Penalty
Q2_b,30,16.88,45.0,LLM Concept + Relevance Penalty
Q2_b,30,22.5,45.0,LLM Concept + Relevance Penalty
Q2_b,35,9.0,45.0,LLM Concept + Relevance Penalty
Q2_b,15,5.62,45.0,LLM Concept + Relevance Penalty
Q2_b,40,45.0,45.0,LLM Concept + Relevance Penalty
Q2_b,28,5.62,45.0,LLM Concept + Relevance Penalty
Q2_b,35,0.0,45.0,LLM Concept + Relevance Penalty
Q2_b,26,22.5,45.0,LLM Concept + Relevance Penalty
Q2_b,28,5.62,45.0,LLM Concept + Relevance Penalty
Q2_b,30,11.25,45.0,LLM Concept + Relevance Penalty
Q2_b,16,0.0,45.0,LLM Concept + Relevance Penalty
Q2_b,45,16.88,45.0,LLM Concept + Relevance Penalty
Q2_b,45,11.25,45.0,LLM Concept + Relevance Penalty
Q3_a,0,3.33,10.0,LLM Concept + Relevance Penalty
Q3_a,6,0.0,10.0,LLM Concept + Relevance Penalty
Q3_a,0,0.0,10.0,LLM Concept + Relevance Penalty
Q3_a,10,3.33,10.0,LLM Concept + Relevance Penalty
Q3_a,9,3.33,10.0,LLM Concept + Relevance Penalty
Q3_a,8,3.33,10.0,LLM Concept + Relevance Penalty
Q3_a,4,1.67,10.0,LLM Concept + Relevance Penalty
Q3_a,0,0.0,10.0,LLM Concept + Relevance Penalty
Q3_a,0,3.33,10.0,LLM Concept + Relevance Penalty
Q3_a,5,3.33,10.0,LLM Concept + Relevance Penalty
Q3_a,0,0.0,10.0,LLM Concept + Relevance Penalty
Q3_a,8,3.33,10.0,LLM Concept + Relevance Penalty
Q3_a,8,3.33,10.0,LLM Concept + Relevance Penalty
Q3_a,6,1.67,10.0,LLM Concept + Relevance Penalty
Q3_a,7,1.67,10.0,LLM Concept + Relevance Penalty
Q3_a,6,3.33,10.0,LLM Concept + Relevance Penalty
Q3_a,8,1.67,10.0,LLM Concept + Relevance Penalty
Q3_a,8,3.33,10.0,LLM Concept + Relevance Penalty
Q3_a,8,3.33,10.0,LLM Concept + Relevance Penalty
Q3_b,8,5.0,15.0,LLM Concept + Relevance Penalty
Q3_b,10,2.5,15.0,LLM Concept + Relevance Penalty
Q3_b,5,5.0,15.0,LLM Concept + Relevance Penalty
Q3_b,10,0.0,15.0,LLM Concept + Relevance Penalty
Q3_b,12,7.5,15.0,LLM Concept + Relevance Penalty
Q3_b,8,5.0,15.0,LLM Concept + Relevance Penalty
Q3_b,0,0.0,15.0,LLM Concept + Relevance Penalty
Q3_b,7,7.5,15.0,LLM Concept + Relevance Penalty
Q3_b,5,5.0,15.0,LLM Concept + Relevance Penalty
Q3_b,14,10.0,15.0,LLM Concept + Relevance Penalty
Q3_b,12,12.5,15.0,LLM Concept + Relevance Penalty
Q3_b,6,0.0,15.0,LLM Concept + Relevance Penalty
Q3_b,5,2.5,15.0,LLM Concept + Relevance Penalty
Q3_b,10,2.5,15.0,LLM Concept + Relevance Penalty
Q3_b,7,0.0,15.0,LLM Concept + Relevance Penalty
Q3_b,12,7.5,15.0,LLM Concept + Relevance Penalty
Q3_c,18,18.75,25.0,LLM Concept + Relevance Penalty
Q3_c,0,0.0,25.0,LLM Concept + Relevance Penalty
Q3_c,10,12.5,25.0,LLM Concept + Relevance Penalty
Q3_c,24,12.5,25.0,LLM Concept + Relevance Penalty
Q3_c,16,12.5,25.0,LLM Concept + Relevance Penalty
Q3_c,24,15.0,25.0,LLM Concept + Relevance Penalty
Q3_c,12,10.0,25.0,LLM Concept + Relevance Penalty
Q3_c,20,12.5,25.0,LLM Concept + Relevance Penalty
Q3_c,20,6.94,25.0,LLM Concept + Relevance Penalty
Q3_c,16,12.5,25.0,LLM Concept + Relevance Penalty
Q3_c,20,18.75,25.0,LLM Concept + Relevance Penalty
Q3_c,18,18.75,25.0,LLM Concept + Relevance Penalty
Q3_c,22,15.62,25.0,LLM Concept + Relevance Penalty
Q3_c,12,18.75,25.0,LLM Concept + Relevance Penalty
Q3_c,22,12.5,25.0,LLM Concept + Relevance Penalty
Q3_c,10,21.88,25.0,LLM Concept + Relevance Penalty
Q3_c,20,12.5,25.0,LLM Concept + Relevance Penalty
Q3_c,18,15.62,25.0,LLM Concept + Relevance Penalty
Q3_d,25,15.0,50.0,LLM Concept + Relevance Penalty
Q3_d,15,15.0,50.0,LLM Concept + Relevance Penalty
Q3_d,2,0.0,50.0,LLM Concept + Relevance Penalty
Q3_d,42,25.0,50.0,LLM Concept + Relevance Penalty
Q3_d,44,30.0,50.0,LLM Concept + Relevance Penalty
Q3_d,28,20.0,50.0,LLM Concept + Relevance Penalty
Q3_d,40,42.5,50.0,LLM Concept + Relevance Penalty
Q3_d,50,50.0,50.0,LLM Concept + Relevance Penalty
Q3_d,25,45.0,50.0,LLM Concept + Relevance Penalty
Q3_d,28,45.0,50.0,LLM Concept + Relevance Penalty
Q3_d,25,32.5,50.0,LLM Concept + Relevance Penalty
Q3_d,42,40.0,50.0,LLM Concept + Relevance Penalty
Q3_d,45,50.0,50.0,LLM Concept + Relevance Penalty
Q3_d,42,42.5,50.0,LLM Concept + Relevance Penalty
Q3_d,50,50.0,50.0,LLM Concept + Relevance Penalty
Q3_d,45,45.0,50.0,LLM Concept + Relevance Penalty
Q3_d,42,40.0,50.0,LLM Concept + Relevance Penalty
Q3_d,48,40.0,50.0,LLM Concept + Relevance Penalty
Q3_d,30,25.0,50.0,LLM Concept + Relevance Penalty
Q4_a,12,3.0,24.0,LLM Concept + Relevance Penalty
Q4_a,20,6.0,24.0,LLM Concept + Relevance Penalty
Q4_a,10,6.0,24.0,LLM Concept + Relevance Penalty
Q4_a,10,9.0,24.0,LLM Concept + Relevance Penalty
Q4_a,0,0.0,24.0,LLM Concept + Relevance Penalty
Q4_a,12,12.0,24.0,LLM Concept + Relevance Penalty
Q4_a,22,6.0,24.0,LLM Concept + Relevance Penalty
Q4_a,18,9.0,24.0,LLM Concept + Relevance Penalty
Q4_a,24,6.0,24.0,LLM Concept + Relevance Penalty
Q4_a,18,3.0,24.0,LLM Concept + Relevance Penalty
Q4_a,12,0.0,24.0,LLM Concept + Relevance Penalty
Q4_a,24,18.0,24.0,LLM Concept + Relevance Penalty
Q4_a,20,12.0,24.0,LLM Concept + Relevance Penalty
Q4_a,20,9.0,24.0,LLM Concept + Relevance Penalty
Q4_a,18,12.0,24.0,LLM Concept + Relevance Penalty
Q4_a,24,15.0,24.0,LLM Concept + Relevance Penalty
Q4_a,18,6.0,24.0,LLM Concept + Relevance Penalty
Q4_a,18,18.0,24.0,LLM Concept + Relevance Penalty
Q4_a,12,12.0,24.0,LLM Concept + Relevance Penalty
Q4_b,5,18.0,36.0,LLM Concept + Relevance Penalty
Q4_b,25,14.4,36.0,LLM Concept + Relevance Penalty
Q4_b,8,25.71,36.0,LLM Concept + Relevance Penalty
Q4_b,36,34.2,36.0,LLM Concept + Relevance Penalty
Q4_b,20,16.5,36.0,LLM Concept + Relevance Penalty
Q4_b,36,32.4,36.0,LLM Concept + Relevance Penalty
Q4_b,20,30.6,36.0,LLM Concept + Relevance Penalty
Q4_b,0,12.0,36.0,LLM Concept + Relevance Penalty
Q4_b,5,10.8,36.0,LLM Concept + Relevance Penalty
Q4_b,0,28.8,36.0,LLM Concept + Relevance Penalty
Q4_b,15,3.6,36.0,LLM Concept + Relevance Penalty
Q4_b,36,25.2,36.0,LLM Concept + Relevance Penalty
Q4_b,20,36.0,36.0,LLM Concept + Relevance Penalty
Q4_b,36,34.0,36.0,LLM Concept + Relevance Penalty
Q4_b,36,32.4,36.0,LLM Concept + Relevance Penalty
Q4_b,30,36.0,36.0,LLM Concept + Relevance Penalty
Q4_b,10,7.2,36.0,LLM Concept + Relevance Penalty
Q4_b,36,28.8,36.0,LLM Concept + Relevance Penalty
